blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
Karma,Senna,Gwen,Graves,12.2,Impact,Bwipo,,,,
Thresh,Jinx,Viego,Jarvan IV,12.2,Inspired,Santorin,,,,
Caitlyn,Diana,Twisted Fate,Sylas,12.2,jojopyun,Bjergsen,,,,
Gangplank,Lee Sin,Varus,Aphelios,12.2,Danny,Hans Sama,,,,
Rakan,Xin Zhao,Braum,Lulu,12.2,Vulcan,Eyla,,,,
,,,,,,,Evil Geniuses,Team Liquid,red_side,blue_side
Karma,Senna,Gwen,Gangplank,12.2,Impact,Bwipo,,,,
Thresh,Jinx,Poppy,Jarvan IV,12.2,Inspired,Santorin,,,,
Caitlyn,Diana,Twisted Fate,Sylas,12.2,jojopyun,Bjergsen,,,,
Rakan,Lee Sin,Varus,Aphelios,12.2,Danny,Hans Sama,,,,
Graves,Xin Zhao,Tahm Kench,Lulu,12.2,Vulcan,Eyla,,,,
,,,,,,,Evil Geniuses,Team Liquid,red_side,blue_side
Senna,Caitlyn,Volibear,Renekton,12.2,Bwipo,Impact,,,,
Diana,Karma,Xin Zhao,Jarvan IV,12.2,Santorin,Inspired,,,,
Twisted Fate,Corki,Zilean,Sylas,12.2,Bjergsen,jojopyun,,,,
Gwen,Graves,Jinx,Aphelios,12.2,Hans Sama,Danny,,,,
LeBlanc,Sion,Lulu,Thresh,12.2,Eyla,Vulcan,,,,
,,,,,,,Team Liquid,Evil Geniuses,blue_side,red_side
Karma,Caitlyn,Renekton,Malphite,12.2,Impact,Darshan,,,,
Viktor,Senna,Diana,Poppy,12.2,Inspired,Blaber,,,,
Xin Zhao,Corki,Yasuo,Twisted Fate,12.2,jojopyun,Fudge,,,,
Yuumi,Thresh,Jinx,Jhin,12.2,Danny,Zven,,,,
Gwen,Gragas,Leona,Rakan,12.2,Vulcan,Isles,,,,
,,,,,,,Evil Geniuses,Cloud9,blue_side,red_side
